epoch,step,loss,datetime
1,120,nan,2024-04-09 12:34:36.543582
1,130,nan,2024-04-09 12:34:47.303718
1,140,nan,2024-04-09 12:34:57.943144
1,150,nan,2024-04-09 12:35:08.792547
1,160,nan,2024-04-09 12:35:19.492404
1,170,nan,2024-04-09 12:35:30.376597
1,180,nan,2024-04-09 12:35:41.029108
1,190,nan,2024-04-09 12:35:51.870018
1,200,nan,2024-04-09 12:36:02.510534
1,210,nan,2024-04-09 12:36:13.004573
1,220,nan,2024-04-09 12:36:23.675505
1,230,nan,2024-04-09 12:36:34.397039
1,240,nan,2024-04-09 12:36:45.060577
1,250,nan,2024-04-09 12:36:55.687635
1,260,nan,2024-04-09 12:37:06.351650
1,270,nan,2024-04-09 12:37:17.022496
1,280,nan,2024-04-09 12:37:27.724687
1,290,nan,2024-04-09 12:37:38.417347
1,300,nan,2024-04-09 12:37:49.128010
1,310,nan,2024-04-09 12:37:59.775461
1,320,nan,2024-04-09 12:38:10.401529
1,330,nan,2024-04-09 12:38:21.184633
1,340,nan,2024-04-09 12:38:31.879449
1,350,nan,2024-04-09 12:38:42.508320
1,360,nan,2024-04-09 12:38:53.107731
1,370,nan,2024-04-09 12:39:03.668803
1,380,nan,2024-04-09 12:39:14.322184
1,390,nan,2024-04-09 12:39:25.052785
1,400,nan,2024-04-09 12:39:35.697583
1,410,nan,2024-04-09 12:39:46.279715
1,420,nan,2024-04-09 12:39:57.011234
1,430,nan,2024-04-09 12:40:07.572189
1,440,nan,2024-04-09 12:40:18.083880
1,450,nan,2024-04-09 12:40:28.620874
1,460,nan,2024-04-09 12:40:39.283459
1,470,nan,2024-04-09 12:40:49.882105
1,480,nan,2024-04-09 12:41:00.537395
1,490,nan,2024-04-09 12:41:11.075957
1,500,nan,2024-04-09 12:41:21.527365
1,510,nan,2024-04-09 12:41:32.003240
1,520,nan,2024-04-09 12:41:42.615484
1,530,nan,2024-04-09 12:41:53.175608
1,540,nan,2024-04-09 12:42:03.731079
1,550,nan,2024-04-09 12:42:14.362483
1,560,nan,2024-04-09 12:42:24.936018
1,570,nan,2024-04-09 12:42:35.496689
1,580,nan,2024-04-09 12:42:46.005919
1,590,nan,2024-04-09 12:42:56.495491
2,0,nan,2024-04-09 12:43:11.332083
